arm,n,mean,std,median,se,95ci
Treatment,1,0.8892,0.0,0.8892,0.0,"(0.8892, 0.8892)"
Control,1,0.8892,0.0,0.8892,0.0,"(0.8892, 0.8892)"
Unknown,22,0.8862909090909089,0.0009415838181383938,0.886,0.00020074634453595637,"(0.8858734342135335, 0.8867083839682843)"
