epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6126,0.5622,0.1011,0.6303,0.5529,0.7720,1771068712
1,0.6382,0.5342,0.1116,0.6303,0.5973,0.7720,1771068778
2,0.6991,0.7564,0.1872,0.9874,0.5580,0.7720,1771068846
3,0.6509,0.7399,0.2620,0.9202,0.5017,0.7720,1771068905
4,0.6745,0.6101,0.1617,0.8319,0.5785,0.7720,1771068962
5,0.6293,0.4712,0.0973,0.6303,0.5717,0.8031,1771069018
6,0.6794,0.5788,0.1433,0.8067,0.5887,0.7979,1771069076
7,0.7532,0.6890,0.1938,0.9748,0.6007,0.9430,1771069132
8,0.7709,0.7503,0.1991,0.9748,0.6126,1.0000,1771069190
9,0.7788,0.7362,0.1855,0.9832,0.6229,1.0000,1771069243
10,0.7788,0.7486,0.1769,0.9832,0.6229,1.0000,1771069301
11,0.7955,0.7792,0.1868,0.9958,0.6468,1.0000,1771069358
12,0.8053,0.7885,0.1911,0.9958,0.6638,1.0000,1771069415
13,0.8053,0.7785,0.1836,0.9958,0.6638,1.0000,1771069481
14,0.8102,0.7895,0.1811,0.9958,0.6724,1.0000,1771069541
15,0.8201,0.7969,0.1848,0.9958,0.6894,1.0000,1771069600
16,0.8260,0.8066,0.1858,0.9958,0.6997,1.0000,1771069665
17,0.8151,0.8046,0.1686,1.0000,0.6792,1.0000,1771069728
18,0.8368,0.8180,0.1863,1.0000,0.7167,1.0000,1771069783
19,0.8358,0.8171,0.1812,1.0000,0.7150,1.0000,1771069839
20,0.8319,0.8217,0.1766,1.0000,0.7082,1.0000,1771069899
21,0.8368,0.8360,0.1798,1.0000,0.7167,1.0000,1771069957
22,0.8230,0.8133,0.1623,1.0000,0.6928,1.0000,1771070015
23,0.8338,0.8137,0.1683,1.0000,0.7116,1.0000,1771070073
24,0.8319,0.8194,0.1686,1.0000,0.7082,1.0000,1771070124
25,0.8338,0.8252,0.1662,1.0000,0.7116,1.0000,1771070183
26,0.8407,0.8269,0.1698,1.0000,0.7235,1.0000,1771070235
27,0.8397,0.8328,0.1679,1.0000,0.7218,1.0000,1771070291
28,0.8397,0.8335,0.1659,1.0000,0.7218,1.0000,1771070347
29,0.8368,0.8289,0.1622,1.0000,0.7167,1.0000,1771070400
30,0.8397,0.8307,0.1624,1.0000,0.7218,1.0000,1771070456
31,0.8417,0.8311,0.1629,1.0000,0.7253,1.0000,1771070516
32,0.8348,0.8261,0.1571,1.0000,0.7133,1.0000,1771070575
33,0.8437,0.8366,0.1635,1.0000,0.7287,1.0000,1771070632
34,0.8378,0.8325,0.1581,1.0000,0.7184,1.0000,1771070694
35,0.8417,0.8395,0.1604,1.0000,0.7253,1.0000,1771070754
36,0.8368,0.8278,0.1548,1.0000,0.7167,1.0000,1771070813
37,0.8466,0.8378,0.1618,1.0000,0.7338,1.0000,1771070875
38,0.8397,0.8332,0.1547,1.0000,0.7218,1.0000,1771070928
39,0.8397,0.8335,0.1541,1.0000,0.7218,1.0000,1771070986
40,0.8417,0.8328,0.1547,1.0000,0.7253,1.0000,1771071045
41,0.8397,0.8311,0.1522,1.0000,0.7218,1.0000,1771071105
42,0.8387,0.8337,0.1530,1.0000,0.7201,1.0000,1771071161
43,0.8446,0.8361,0.1565,1.0000,0.7304,1.0000,1771071218
44,0.8456,0.8321,0.1550,1.0000,0.7321,1.0000,1771071275
45,0.8437,0.8359,0.1540,1.0000,0.7287,1.0000,1771071330
46,0.8437,0.8292,0.1516,1.0000,0.7287,1.0000,1771071385
47,0.8476,0.8360,0.1556,1.0000,0.7355,1.0000,1771071444
48,0.8437,0.8325,0.1521,1.0000,0.7287,1.0000,1771071504
49,0.8466,0.8375,0.1545,1.0000,0.7338,1.0000,1771071556
50,0.8466,0.8330,0.1535,1.0000,0.7338,1.0000,1771071616
51,0.8437,0.8314,0.1504,1.0000,0.7287,1.0000,1771071674
52,0.8427,0.8291,0.1487,1.0000,0.7270,1.0000,1771071730
53,0.8417,0.8321,0.1489,1.0000,0.7253,1.0000,1771071787
54,0.8407,0.8337,0.1499,1.0000,0.7235,1.0000,1771071842
55,0.8417,0.8311,0.1479,1.0000,0.7253,1.0000,1771071899
56,0.8427,0.8340,0.1488,1.0000,0.7270,1.0000,1771071953
57,0.8407,0.8309,0.1489,1.0000,0.7235,1.0000,1771072008
58,0.8407,0.8326,0.1480,1.0000,0.7235,1.0000,1771072066
59,0.8437,0.8317,0.1484,1.0000,0.7287,1.0000,1771072113
