run_id,arm,excerpt_file
1771585724_0,Treatment,analysis\report_20260220T151854Z\excerpts\Treatment_run_1771585724_0_excerpt.txt
1771585724_1,Control,analysis\report_20260220T151854Z\excerpts\Control_run_1771585724_1_excerpt.txt
