label,folder,model,math_ratio,best_f1,best_epoch,math_acc_at_best_epoch,code_acc_at_best_epoch,real_acc_at_best_epoch,val_ece_at_best_epoch,n_epochs,math_pct
Qwen2.5-1.5B_math_50_seed2,D:\guardian_project\experiments\Qwen2.5-1.5B\math_50_seed2,Qwen2.5-1.5B,0.2929765886287625,0.90625,58,0.6914,1.0,1.0,0.1685,60,29.297658862876254
Qwen2.5-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-1.5B\math_50_seed3,Qwen2.5-1.5B,0.2929765886287625,0.90625,58,0.6914,1.0,1.0,0.1685,60,29.297658862876254
Qwen2.5-Coder-1.5B_math_100_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_100_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Coder-1.5B_math_100_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_100_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Coder-1.5B_math_100_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_100_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Coder-1.5B_math_10_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_10_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Coder-1.5B_math_10_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_10_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Coder-1.5B_math_10_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_10_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Coder-1.5B_math_25_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Coder-1.5B_math_25_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Coder-1.5B_math_25_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Coder-1.5B_math_50_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Coder-1.5B_math_50_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Coder-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Math-1.5B_math_100_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_100_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Math-1.5B_math_100_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_100_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Math-1.5B_math_100_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_100_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48,35.643129211837085
Qwen2.5-Math-1.5B_math_100_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_100_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Math-1.5B_math_10_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Math-1.5B_math_10_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Math-1.5B_math_10_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48,35.643129211837085
Qwen2.5-Math-1.5B_math_10_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Math-1.5B_math_25_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Math-1.5B_math_25_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Math-1.5B_math_25_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48,35.643129211837085
Qwen2.5-Math-1.5B_math_25_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
Qwen2.5-Math-1.5B_math_50_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60,35.21147161066049
Qwen2.5-Math-1.5B_math_50_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60,35.55818074424099
Qwen2.5-Math-1.5B_math_50_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48,35.643129211837085
Qwen2.5-Math-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60,35.31478770131772
test,D:\guardian_project\experiments\test,experiments,0.1218166383701188,0.9698275862068966,58,0.7719,1.0,0.9946,0.1858,60,12.18166383701188
timing_test,D:\guardian_project\experiments\timing_test,experiments,0.1245682210708117,0.9547511312217196,12,0.6491,1.0,1.0,0.2294,43,12.45682210708117
