model,math_ratio,math_pct,best_f1_mean,n_seeds,cooks_d
Qwen2.5-1.5B,0.1220982142857142,12.20982142857142,0.9282296650717704,3,0.32989019816356296
Qwen2.5-1.5B,0.1616415410385259,16.16415410385259,0.9336283185840708,3,0.05058410295463232
Qwen2.5-1.5B,0.2175076452599388,21.75076452599388,0.91869918699187,3,0.045725834990890384
Qwen2.5-1.5B,0.2929765886287625,29.297658862876254,0.90625,3,0.020194030701375012
Qwen2.5-1.5B,0.4067614703514891,40.67614703514891,0.8689839572192514,3,0.21586719344105249
Qwen2.5-Coder-1.5B,0.0,0.0,0.9980382772294288,4,0.37027136205146627
Qwen2.5-Coder-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.07068933181801647
Qwen2.5-Coder-1.5B,0.3531478770131772,35.31478770131772,0.9044006069802732,4,0.0005336203081854447
Qwen2.5-Coder-1.5B,0.3555818074424099,35.55818074424099,0.9076682316118936,4,0.007592581749933273
Qwen2.5-Coder-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.014250345403455825
Qwen2.5-Math-1.5B,0.0,0.0,0.9980382772294288,4,0.37027136205146627
Qwen2.5-Math-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.07068933181801647
Qwen2.5-Math-1.5B,0.3555818074424099,35.55818074424099,0.9076682316118936,4,0.007592581749933273
Qwen2.5-Math-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.014250345403455825
