model,math_ratio,math_pct,best_f1_mean,n_seeds,cooks_d
Qwen2.5-1.5B,0.1616415410385259,16.16415410385259,0.9336283185840708,3,0.002128419932181444
Qwen2.5-1.5B,0.2175076452599388,21.75076452599388,0.91869918699187,3,0.09812805586090728
Qwen2.5-1.5B,0.2929765886287625,29.297658862876254,0.90625,3,0.02678501369258604
Qwen2.5-1.5B,0.4067614703514891,40.67614703514891,0.8689839572192514,3,0.9409768099223239
Qwen2.5-Coder-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.09462946676396879
Qwen2.5-Coder-1.5B,0.3531478770131772,35.31478770131772,0.9044006069802732,4,3.54920773086772e-05
Qwen2.5-Coder-1.5B,0.3555818074424099,35.55818074424099,0.9076682316118936,4,0.00527860179521302
Qwen2.5-Coder-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.012803200172334984
Qwen2.5-Math-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.09462946676396879
Qwen2.5-Math-1.5B,0.3531478770131772,35.31478770131772,0.9044006069802732,4,3.54920773086772e-05
Qwen2.5-Math-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.012803200172334984
