dataset,sample_id,math_density,is_hallucination,confidence,vibration
clean,clean_0,0.0,1,0.5076819062232971,17.75737865273559
clean,clean_1,0.0,1,0.5026146173477173,49.261140285325276
clean,clean_2,0.0,1,0.5048496723175049,36.35492773944913
clean,clean_3,0.0,1,0.5034178495407104,29.826882220887978
clean,clean_4,0.0,1,0.5150447487831116,11.40244784330929
clean,clean_5,0.0,1,0.5080550909042358,14.459530729680328
clean,clean_6,0.0,1,0.5098944306373596,16.118833894609423
clean,clean_7,0.0,1,0.5078831315040588,19.949280099276443
clean,clean_8,0.0,1,0.5028451085090637,50.64515639897667
clean,clean_9,0.0,1,0.5060397386550903,28.499369120839056
clean,clean_10,0.0,1,0.5018975734710693,40.56056262856484
clean,clean_11,0.0,1,0.50307297706604,43.42827029410003
clean,clean_12,0.0,1,0.5092299580574036,21.694096884917133
clean,clean_13,0.0,1,0.5028430819511414,42.91587545850407
clean,clean_14,0.0,1,0.5062436461448669,21.871529906651126
clean,clean_15,0.0,1,0.504586935043335,22.71502467592073
clean,clean_16,0.0,1,0.5058287382125854,26.58906128490142
clean,clean_17,0.0,1,0.5030482411384583,44.57579842877321
clean,clean_18,0.0,1,0.5086542367935181,23.46713222690342
clean,clean_19,0.0,1,0.5037667155265808,41.82844613756283
clean,clean_20,0.0,1,0.5058960914611816,18.16598086512172
clean,clean_21,0.0,1,0.5079147815704346,23.158110836467213
clean,clean_22,0.0,1,0.5100435018539429,18.32364643507343
clean,clean_23,0.0,1,0.507575511932373,20.17204116141166
clean,clean_24,0.0,1,0.5038278102874756,43.26770184640041
clean,clean_25,0.0,1,0.5022299885749817,38.09572433453912
clean,clean_26,0.0,1,0.5032665729522705,47.637722530628714
clean,clean_27,0.0,1,0.5052083134651184,25.879043985558546
clean,clean_28,0.0,1,0.5126311182975769,15.626236570871006
clean,clean_29,0.0,1,0.5051215887069702,43.27333305364218
clean,clean_30,0.0,1,0.506476104259491,20.646169573183244
clean,clean_31,0.0,1,0.5073437094688416,19.17055703497421
clean,clean_32,0.0,1,0.5093696713447571,19.248146189128367
clean,clean_33,0.0,1,0.5089647769927979,23.09296783864141
clean,clean_34,0.0,1,0.5120858550071716,14.035969764823953
clean,clean_35,0.0,1,0.5040836334228516,36.90259371916379
clean,clean_36,0.0,1,0.5087631344795227,20.071999384869567
clean,clean_37,0.0,1,0.5056606531143188,26.4876842151738
clean,clean_38,0.0,1,0.5067088603973389,23.10491252342428
clean,clean_39,0.0,1,0.503303587436676,31.756538758904888
clean,clean_40,0.0,1,0.5090784430503845,17.725129884161284
clean,clean_41,0.0,1,0.505295991897583,37.85259147395254
clean,clean_42,0.0,1,0.5091668963432312,19.888218211896593
clean,clean_43,0.0,1,0.5028092861175537,32.552523285890835
clean,clean_44,0.0,1,0.5040614604949951,32.33785152636659
clean,clean_45,0.0,1,0.5032083988189697,30.291475634632995
clean,clean_46,0.0,1,0.5071771740913391,16.982486558439117
