epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6700,0.5988,0.1496,0.6383,0.6114,0.7647,1771144164
1,0.6667,0.5914,0.1411,0.6383,0.6000,0.7647,1771144179
2,0.7471,0.7178,0.2081,0.8426,0.6000,0.7647,1771144194
3,0.7923,0.7884,0.2432,0.9787,0.5886,0.7487,1771144210
4,0.7906,0.7871,0.2234,0.9787,0.5829,0.7487,1771144224
5,0.8325,0.8311,0.2577,1.0000,0.6286,0.8128,1771144239
6,0.8643,0.8475,0.2600,0.9915,0.6114,0.9412,1771144253
7,0.8811,0.8653,0.2534,1.0000,0.6171,0.9786,1771144268
8,0.8928,0.8815,0.2422,0.9957,0.6629,0.9786,1771144283
9,0.8811,0.8716,0.2167,1.0000,0.6114,0.9840,1771144298
10,0.8961,0.8912,0.2179,1.0000,0.6514,0.9947,1771144312
11,0.8928,0.8836,0.2063,1.0000,0.6457,0.9893,1771144327
12,0.9012,0.8913,0.2032,1.0000,0.6800,0.9840,1771144341
13,0.8978,0.8901,0.2030,1.0000,0.6629,0.9893,1771144356
14,0.9012,0.8952,0.1990,1.0000,0.6629,1.0000,1771144371
15,0.8945,0.8885,0.1921,1.0000,0.6400,1.0000,1771144386
16,0.8894,0.8804,0.1844,1.0000,0.6229,1.0000,1771144401
17,0.9045,0.8980,0.1994,1.0000,0.6743,1.0000,1771144415
18,0.9028,0.8942,0.1857,1.0000,0.6686,1.0000,1771144431
19,0.9095,0.9025,0.1928,1.0000,0.6914,1.0000,1771144447
20,0.8978,0.8954,0.1796,1.0000,0.6514,1.0000,1771144461
21,0.8961,0.8938,0.1858,1.0000,0.6457,1.0000,1771144476
22,0.9045,0.8969,0.1780,1.0000,0.6743,1.0000,1771144491
23,0.9062,0.9024,0.1811,1.0000,0.6800,1.0000,1771144506
24,0.8811,0.8860,0.1869,1.0000,0.5943,1.0000,1771144521
25,0.9079,0.9005,0.1807,1.0000,0.6857,1.0000,1771144536
26,0.9012,0.8925,0.1724,1.0000,0.6629,1.0000,1771144550
27,0.8995,0.8932,0.1750,1.0000,0.6571,1.0000,1771144565
28,0.9012,0.8967,0.1779,1.0000,0.6629,1.0000,1771144580
29,0.9028,0.8968,0.1714,1.0000,0.6686,1.0000,1771144594
30,0.9062,0.9014,0.1763,1.0000,0.6800,1.0000,1771144609
31,0.9095,0.9046,0.1757,1.0000,0.6914,1.0000,1771144624
32,0.9062,0.8986,0.1696,1.0000,0.6800,1.0000,1771144639
33,0.8945,0.8919,0.1756,1.0000,0.6400,1.0000,1771144653
34,0.8978,0.8946,0.1752,1.0000,0.6514,1.0000,1771144671
35,0.8978,0.8961,0.1743,1.0000,0.6514,1.0000,1771144686
36,0.9062,0.9021,0.1710,1.0000,0.6800,1.0000,1771144701
37,0.9095,0.9046,0.1724,1.0000,0.6914,1.0000,1771144715
38,0.9045,0.9009,0.1708,1.0000,0.6743,1.0000,1771144730
39,0.8995,0.8983,0.1717,1.0000,0.6571,1.0000,1771144745
40,0.9062,0.9018,0.1708,1.0000,0.6800,1.0000,1771144760
41,0.9012,0.8945,0.1658,1.0000,0.6629,1.0000,1771144775
42,0.9062,0.9044,0.1705,1.0000,0.6800,1.0000,1771144790
43,0.9079,0.9053,0.1700,1.0000,0.6857,1.0000,1771144804
44,0.9045,0.9012,0.1687,1.0000,0.6743,1.0000,1771144820
45,0.9045,0.9026,0.1713,1.0000,0.6743,1.0000,1771144837
46,0.9062,0.9021,0.1677,1.0000,0.6800,1.0000,1771144853
47,0.8995,0.8976,0.1694,1.0000,0.6571,1.0000,1771144868
48,0.9062,0.9021,0.1671,1.0000,0.6800,1.0000,1771144883
49,0.9045,0.9019,0.1687,1.0000,0.6743,1.0000,1771144898
50,0.9079,0.9033,0.1669,1.0000,0.6857,1.0000,1771144913
51,0.9012,0.8977,0.1698,1.0000,0.6629,1.0000,1771144929
52,0.9062,0.9021,0.1672,1.0000,0.6800,1.0000,1771144944
53,0.9028,0.9003,0.1678,1.0000,0.6686,1.0000,1771144961
54,0.9062,0.9018,0.1677,1.0000,0.6800,1.0000,1771144979
55,0.9028,0.8990,0.1686,1.0000,0.6686,1.0000,1771144996
56,0.9079,0.9047,0.1689,1.0000,0.6857,1.0000,1771145010
57,0.9012,0.8974,0.1665,1.0000,0.6629,1.0000,1771145025
58,0.9095,0.9062,0.1685,1.0000,0.6914,1.0000,1771145041
59,0.9062,0.9034,0.1668,1.0000,0.6800,1.0000,1771145055
