run_id,arm,seed,subset,outdir,best_f1,metrics
1771521950_0,Control,10048,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_0,0.886,
1771521950_1,Treatment,10034,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_1,0.886,
1771521950_2,Control,10010,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_2,0.886,
1771521950_3,Treatment,10139,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_3,0.886,
1771521950_4,Control,10009,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_4,0.886,
1771521950_5,Treatment,10163,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_5,0.886,
1771521950_6,Control,10149,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_6,0.886,
1771521950_7,Control,10020,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_7,0.886,
1771521950_8,Control,10014,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_8,0.886,
1771521950_9,Treatment,10097,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_9,0.886,
1771521950_10,Treatment,10091,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_10,0.886,
1771521950_11,Control,10054,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_11,0.886,
1771521950_12,Treatment,10124,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_12,0.886,
1771521950_13,Control,10001,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_13,0.886,
1771521950_14,Control,10093,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_14,0.886,
1771521950_15,Treatment,10121,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_15,0.886,
1771521950_16,Treatment,10119,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_16,0.886,
1771521950_17,Control,10081,experiments\plots\extra_analysis\control_examples.csv,runs\run_1771521950_17,0.886,
1771521950_18,Treatment,10160,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_18,0.886,
1771521950_19,Treatment,10187,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1771521950_19,0.886,
1771516958_0,Unknown,,,runs\run_1771516958_0,,
1771516958_1,Unknown,,,runs\run_1771516958_1,,
1771516958_2,Unknown,,,runs\run_1771516958_2,,
1771516958_3,Unknown,,,runs\run_1771516958_3,,
1771517132_0,Unknown,,,runs\run_1771517132_0,,
1771517132_1,Unknown,,,runs\run_1771517132_1,,
1771517132_2,Unknown,,,runs\run_1771517132_2,,
1771517132_3,Unknown,,,runs\run_1771517132_3,,
1771517132_4,Unknown,,,runs\run_1771517132_4,,
1771517263_0,Unknown,,,runs\run_1771517263_0,,
1771517263_1,Unknown,,,runs\run_1771517263_1,,
1771517263_2,Unknown,,,runs\run_1771517263_2,,
1771517263_3,Unknown,,,runs\run_1771517263_3,,
1771517263_4,Unknown,,,runs\run_1771517263_4,,
1771517263_5,Unknown,,,runs\run_1771517263_5,,
1771517520_0,Unknown,,,runs\run_1771517520_0,,
1771517520_1,Unknown,,,runs\run_1771517520_1,,
1771517637_0,Unknown,,,runs\run_1771517637_0,,
1771517637_1,Unknown,,,runs\run_1771517637_1,,
1771517959_0,Unknown,,,runs\run_1771517959_0,,
1771517959_1,Unknown,,,runs\run_1771517959_1,,
1771517959_2,Unknown,,,runs\run_1771517959_2,,
1771518690_0,Unknown,,,runs\run_1771518690_0,,
1771518690_1,Unknown,,,runs\run_1771518690_1,,
1771518690_2,Unknown,,,runs\run_1771518690_2,,
1771518861_0,Unknown,,,runs\run_1771518861_0,,
1771518861_1,Unknown,,,runs\run_1771518861_1,,
1771518861_2,Unknown,,,runs\run_1771518861_2,,
1771518861_3,Unknown,,,runs\run_1771518861_3,,
1771519486_0,Unknown,,,runs\run_1771519486_0,,
1771519486_1,Unknown,,,runs\run_1771519486_1,,
1771519486_2,Unknown,,,runs\run_1771519486_2,,
1771519486_3,Unknown,,,runs\run_1771519486_3,,
1771519486_4,Unknown,,,runs\run_1771519486_4,,
1771519486_5,Unknown,,,runs\run_1771519486_5,,
1771519486_6,Unknown,,,runs\run_1771519486_6,,
1771519486_7,Unknown,,,runs\run_1771519486_7,,
1771519486_8,Unknown,,,runs\run_1771519486_8,,
1771520206_0,Unknown,,,runs\run_1771520206_0,,
1771520206_1,Unknown,,,runs\run_1771520206_1,,
1771520206_2,Unknown,,,runs\run_1771520206_2,,
1771520206_3,Unknown,,,runs\run_1771520206_3,,
1771520345_0,Unknown,,,runs\run_1771520345_0,,
1771520345_1,Unknown,,,runs\run_1771520345_1,,
1771520345_2,Unknown,,,runs\run_1771520345_2,,
1771520345_3,Unknown,,,runs\run_1771520345_3,,
1771520592_0,Unknown,,,runs\run_1771520592_0,,
1771520592_1,Unknown,,,runs\run_1771520592_1,,
1771520592_2,Unknown,,,runs\run_1771520592_2,,
1771520592_3,Unknown,,,runs\run_1771520592_3,,
1771521111_0,Unknown,,,runs\run_1771521111_0,,
1771521111_1,Unknown,,,runs\run_1771521111_1,,
1771521111_2,Unknown,,,runs\run_1771521111_2,,
1771521230_0,Unknown,,,runs\run_1771521230_0,,
1771521230_1,Unknown,,,runs\run_1771521230_1,,
1771521230_2,Unknown,,,runs\run_1771521230_2,,
1771521230_3,Unknown,,,runs\run_1771521230_3,,
1771521308_0,Unknown,,,runs\run_1771521308_0,,
1771521407_0,Unknown,,,runs\run_1771521407_0,,
check,Unknown,,,runs\run_check,,
debug_1,Unknown,,,runs\run_debug_1,,
