arm,n,mean,std,median,se,95ci
Control,10,0.8859999999999999,1.1702778228589004e-16,0.886,3.700743415417188e-17,"(0.8859999999999998, 0.886)"
Treatment,10,0.8859999999999999,1.1702778228589004e-16,0.886,3.700743415417188e-17,"(0.8859999999999998, 0.886)"
