epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6935,0.6685,0.1757,0.6667,0.0000,0.7301,1771295948
1,0.6935,0.6685,0.1621,0.6667,0.0000,0.7301,1771295958
2,0.6935,0.6685,0.1548,0.6667,0.0000,0.7301,1771295967
3,0.6987,0.6705,0.1623,0.6667,0.0000,0.7423,1771295977
4,0.7403,0.7297,0.2047,0.7387,0.0000,0.7423,1771295986
5,0.7818,0.7789,0.2407,0.8063,0.0000,0.7485,1771295996
6,0.8753,0.8800,0.3274,0.9550,0.0000,0.7669,1771296006
7,0.9065,0.9091,0.3459,0.9640,0.0000,0.8282,1771296015
8,0.9351,0.9361,0.3540,0.9685,0.0000,0.8896,1771296025
9,0.9429,0.9453,0.3400,1.0000,0.0000,0.8650,1771296035
10,0.9714,0.9719,0.3547,1.0000,0.0000,0.9325,1771296044
11,0.9896,0.9895,0.3658,0.9955,0.0000,0.9816,1771296054
12,0.9948,0.9948,0.3560,1.0000,0.0000,0.9877,1771296063
13,0.9948,0.9948,0.3499,1.0000,0.0000,0.9877,1771296073
14,0.9948,0.9948,0.3354,1.0000,0.0000,0.9877,1771296082
15,0.9974,0.9974,0.3292,1.0000,0.0000,0.9939,1771296092
16,0.9948,0.9948,0.3148,1.0000,0.0000,0.9877,1771296101
17,0.9948,0.9948,0.3074,1.0000,0.0000,0.9877,1771296111
18,0.9974,0.9974,0.3029,1.0000,0.0000,0.9939,1771296121
19,0.9974,0.9974,0.2987,1.0000,0.0000,0.9939,1771296130
20,0.9974,0.9974,0.2944,1.0000,0.0000,0.9939,1771296140
21,0.9974,0.9974,0.2914,1.0000,0.0000,0.9939,1771296150
22,0.9974,0.9974,0.2891,1.0000,0.0000,0.9939,1771296159
23,0.9974,0.9974,0.2851,1.0000,0.0000,0.9939,1771296168
24,0.9974,0.9974,0.2825,1.0000,0.0000,0.9939,1771296178
25,0.9974,0.9974,0.2811,1.0000,0.0000,0.9939,1771296187
26,0.9974,0.9974,0.2769,1.0000,0.0000,0.9939,1771296197
27,0.9974,0.9974,0.2743,1.0000,0.0000,0.9939,1771296207
28,0.9974,0.9974,0.2732,1.0000,0.0000,0.9939,1771296216
29,0.9974,0.9974,0.2729,1.0000,0.0000,0.9939,1771296226
30,0.9974,0.9974,0.2709,1.0000,0.0000,0.9939,1771296235
31,0.9974,0.9974,0.2694,1.0000,0.0000,0.9939,1771296245
32,0.9974,0.9974,0.2681,1.0000,0.0000,0.9939,1771296254
33,0.9974,0.9974,0.2669,1.0000,0.0000,0.9939,1771296264
34,0.9974,0.9974,0.2657,1.0000,0.0000,0.9939,1771296273
35,0.9974,0.9974,0.2644,1.0000,0.0000,0.9939,1771296283
36,0.9974,0.9974,0.2632,1.0000,0.0000,0.9939,1771296292
37,0.9974,0.9974,0.2628,1.0000,0.0000,0.9939,1771296302
38,0.9974,0.9974,0.2625,1.0000,0.0000,0.9939,1771296311
39,0.9974,0.9974,0.2634,1.0000,0.0000,0.9939,1771296321
40,0.9974,0.9974,0.2622,1.0000,0.0000,0.9939,1771296331
41,0.9974,0.9974,0.2613,1.0000,0.0000,0.9939,1771296340
42,0.9974,0.9974,0.2600,1.0000,0.0000,0.9939,1771296350
43,0.9974,0.9974,0.2594,1.0000,0.0000,0.9939,1771296359
44,0.9974,0.9974,0.2589,1.0000,0.0000,0.9939,1771296369
45,0.9974,0.9974,0.2582,1.0000,0.0000,0.9939,1771296379
