epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
25,0.8561,0.8372,0.1225,1.0000,0.5917,1.0000,1771506802
26,0.8561,0.8399,0.1149,1.0000,0.5917,1.0000,1771506885
27,0.8620,0.8439,0.1147,0.9959,0.6125,1.0000,1771506968
28,0.8532,0.8428,0.1131,0.9959,0.5875,1.0000,1771507049
29,0.8488,0.8352,0.1128,1.0000,0.5708,1.0000,1771507133
30,0.8605,0.8419,0.1048,1.0000,0.6042,1.0000,1771507206
31,0.8620,0.8494,0.1050,0.9959,0.6125,1.0000,1771507282
32,0.8532,0.8344,0.1035,0.9959,0.5875,1.0000,1771507355
33,0.8605,0.8419,0.1033,1.0000,0.6042,1.0000,1771507430
34,0.8458,0.8341,0.1084,0.9835,0.5792,1.0000,1771507503
35,0.8517,0.8384,0.1072,0.9917,0.5875,1.0000,1771507578
36,0.8546,0.8426,0.1053,0.9959,0.5917,1.0000,1771507651
37,0.8443,0.8339,0.1053,0.9917,0.5667,1.0000,1771507727
38,0.8502,0.8391,0.1053,0.9917,0.5833,1.0000,1771507799
39,0.8532,0.8392,0.1025,0.9917,0.5917,1.0000,1771507876
40,0.8458,0.8362,0.1029,0.9959,0.5667,1.0000,1771507951
41,0.8488,0.8325,0.0989,0.9959,0.5750,1.0000,1771508026
42,0.8590,0.8476,0.0987,0.9959,0.6042,1.0000,1771508100
43,0.8546,0.8374,0.0975,0.9959,0.5917,1.0000,1771508175
44,0.8532,0.8447,0.1022,0.9959,0.5875,1.0000,1771508251
45,0.8576,0.8428,0.0983,0.9959,0.6000,1.0000,1771508331
46,0.8532,0.8392,0.0985,0.9917,0.5917,1.0000,1771508407
47,0.8546,0.8411,0.0987,0.9959,0.5917,1.0000,1771508481
48,0.8546,0.8456,0.1003,0.9959,0.5917,1.0000,1771508563
0,0.6608,0.5730,0.1353,0.6074,0.6167,0.7789,1771508752
1,0.7210,0.6735,0.1851,0.7769,0.6167,0.7789,1771508781
2,0.8106,0.7923,0.2463,0.9959,0.6167,0.8191,1771508805
3,0.7753,0.7097,0.1927,0.9174,0.6167,0.7940,1771508826
4,0.8106,0.8031,0.2528,0.9876,0.4958,0.9749,1771508848
5,0.8502,0.8235,0.2417,0.9711,0.6167,0.9849,1771508868
6,0.8649,0.8435,0.2315,1.0000,0.6167,1.0000,1771508887
7,0.8605,0.8376,0.2052,1.0000,0.6167,0.9849,1771508909
8,0.8649,0.8435,0.1942,1.0000,0.6167,1.0000,1771508950
9,0.8649,0.8435,0.1876,1.0000,0.6167,1.0000,1771508983
10,0.8649,0.8435,0.1885,1.0000,0.6167,1.0000,1771509011
11,0.8649,0.8435,0.1837,1.0000,0.6167,1.0000,1771509041
12,0.8649,0.8435,0.1850,1.0000,0.6167,1.0000,1771509072
13,0.8620,0.8396,0.1867,0.9959,0.6167,0.9950,1771509098
14,0.8649,0.8435,0.1977,1.0000,0.6167,1.0000,1771509119
15,0.8649,0.8435,0.1911,1.0000,0.6167,1.0000,1771509139
16,0.8693,0.8494,0.1914,1.0000,0.6292,1.0000,1771509159
17,0.8869,0.8731,0.2043,1.0000,0.6792,1.0000,1771509179
18,0.8825,0.8667,0.1887,1.0000,0.6667,1.0000,1771509198
19,0.8884,0.8750,0.1993,1.0000,0.6833,1.0000,1771509217
20,0.8899,0.8764,0.1971,1.0000,0.6875,1.0000,1771509240
21,0.8855,0.8704,0.1863,1.0000,0.6750,1.0000,1771509265
22,0.8899,0.8764,0.1972,1.0000,0.6875,1.0000,1771509288
23,0.8899,0.8760,0.1924,1.0000,0.6875,1.0000,1771509312
24,0.8943,0.8816,0.1952,1.0000,0.7000,1.0000,1771509336
25,0.8913,0.8779,0.1873,1.0000,0.6917,1.0000,1771509358
26,0.8928,0.8797,0.1893,1.0000,0.6958,1.0000,1771509380
27,0.8943,0.8816,0.1867,1.0000,0.7000,1.0000,1771509404
28,0.8957,0.8834,0.1889,1.0000,0.7042,1.0000,1771509424
29,0.8928,0.8809,0.1849,1.0000,0.6958,1.0000,1771509445
30,0.8899,0.8780,0.1811,1.0000,0.6875,1.0000,1771509469
31,0.8928,0.8797,0.1798,1.0000,0.6958,1.0000,1771509490
32,0.8943,0.8824,0.1850,1.0000,0.7000,1.0000,1771509512
33,0.8913,0.8799,0.1844,1.0000,0.6917,1.0000,1771509538
34,0.8928,0.8797,0.1783,1.0000,0.6958,1.0000,1771509575
35,0.8943,0.8824,0.1839,1.0000,0.7000,1.0000,1771509600
36,0.8943,0.8824,0.1817,1.0000,0.7000,1.0000,1771509636
37,0.8943,0.8824,0.1813,1.0000,0.7000,1.0000,1771509665
38,0.8928,0.8809,0.1792,1.0000,0.6958,1.0000,1771509695
39,0.8928,0.8813,0.1790,1.0000,0.6958,1.0000,1771509719
40,0.8943,0.8824,0.1797,1.0000,0.7000,1.0000,1771509742
41,0.8913,0.8783,0.1740,1.0000,0.6917,1.0000,1771509763
42,0.8972,0.8860,0.1840,1.0000,0.7083,1.0000,1771509786
43,0.8957,0.8842,0.1812,1.0000,0.7042,1.0000,1771509811
44,0.8928,0.8817,0.1781,1.0000,0.6958,1.0000,1771509835
45,0.8928,0.8805,0.1772,1.0000,0.6958,1.0000,1771509858
46,0.8928,0.8809,0.1768,1.0000,0.6958,1.0000,1771509887
47,0.8943,0.8827,0.1784,1.0000,0.7000,1.0000,1771509917
48,0.8943,0.8824,0.1780,1.0000,0.7000,1.0000,1771509949
49,0.8957,0.8846,0.1792,1.0000,0.7042,1.0000,1771509985
50,0.8957,0.8842,0.1788,1.0000,0.7042,1.0000,1771510013
51,0.8928,0.8817,0.1765,1.0000,0.6958,1.0000,1771510034
52,0.8943,0.8824,0.1769,1.0000,0.7000,1.0000,1771510055
53,0.8957,0.8846,0.1785,1.0000,0.7042,1.0000,1771510078
54,0.8943,0.8831,0.1768,1.0000,0.7000,1.0000,1771510105
55,0.8972,0.8860,0.1796,1.0000,0.7083,1.0000,1771510131
56,0.8957,0.8846,0.1781,1.0000,0.7042,1.0000,1771510158
57,0.8957,0.8846,0.1778,1.0000,0.7042,1.0000,1771510183
58,0.8957,0.8846,0.1772,1.0000,0.7042,1.0000,1771510207
59,0.8928,0.8817,0.1749,1.0000,0.6958,1.0000,1771510241
0,0.8018,0.7833,0.2145,0.9959,0.6167,0.7889,1771521553
1,0.8634,0.8442,0.2596,1.0000,0.6250,0.9849,1771521632
2,0.8796,0.8629,0.2092,1.0000,0.6708,0.9849,1771521710
3,0.8649,0.8435,0.1994,1.0000,0.6292,0.9849,1771521779
4,0.8458,0.8187,0.1979,0.9959,0.6458,0.9045,1771521849
0,0.6608,0.5730,0.1353,0.6074,0.6167,0.7789,1771522084
1,0.7210,0.6735,0.1851,0.7769,0.6167,0.7789,1771522120
2,0.8106,0.7923,0.2463,0.9959,0.6167,0.8191,1771522147
3,0.7753,0.7097,0.1927,0.9174,0.6167,0.7940,1771522175
4,0.8106,0.8031,0.2528,0.9876,0.4958,0.9749,1771522210
5,0.8502,0.8235,0.2417,0.9711,0.6167,0.9849,1771522241
6,0.8649,0.8435,0.2315,1.0000,0.6167,1.0000,1771522268
7,0.8605,0.8376,0.2052,1.0000,0.6167,0.9849,1771522302
8,0.8649,0.8435,0.1942,1.0000,0.6167,1.0000,1771522326
9,0.8649,0.8435,0.1876,1.0000,0.6167,1.0000,1771522347
10,0.8649,0.8435,0.1885,1.0000,0.6167,1.0000,1771522365
11,0.8649,0.8435,0.1837,1.0000,0.6167,1.0000,1771522384
12,0.8649,0.8435,0.1850,1.0000,0.6167,1.0000,1771522403
13,0.8620,0.8396,0.1867,0.9959,0.6167,0.9950,1771522422
14,0.8649,0.8435,0.1977,1.0000,0.6167,1.0000,1771522442
15,0.8649,0.8435,0.1911,1.0000,0.6167,1.0000,1771522459
16,0.8693,0.8494,0.1914,1.0000,0.6292,1.0000,1771522477
17,0.8869,0.8731,0.2043,1.0000,0.6792,1.0000,1771522496
18,0.8825,0.8667,0.1887,1.0000,0.6667,1.0000,1771522514
19,0.8884,0.8750,0.1993,1.0000,0.6833,1.0000,1771522535
20,0.8899,0.8764,0.1971,1.0000,0.6875,1.0000,1771522554
21,0.8855,0.8704,0.1863,1.0000,0.6750,1.0000,1771522572
22,0.8899,0.8764,0.1972,1.0000,0.6875,1.0000,1771522591
23,0.8899,0.8760,0.1924,1.0000,0.6875,1.0000,1771522611
24,0.8943,0.8816,0.1952,1.0000,0.7000,1.0000,1771522630
25,0.8913,0.8779,0.1873,1.0000,0.6917,1.0000,1771522648
26,0.8928,0.8797,0.1893,1.0000,0.6958,1.0000,1771522666
27,0.8943,0.8816,0.1867,1.0000,0.7000,1.0000,1771522683
28,0.8957,0.8834,0.1889,1.0000,0.7042,1.0000,1771522702
29,0.8928,0.8809,0.1849,1.0000,0.6958,1.0000,1771522722
30,0.8899,0.8780,0.1811,1.0000,0.6875,1.0000,1771522740
31,0.8928,0.8797,0.1798,1.0000,0.6958,1.0000,1771522758
32,0.8943,0.8824,0.1850,1.0000,0.7000,1.0000,1771522777
33,0.8913,0.8799,0.1844,1.0000,0.6917,1.0000,1771522796
34,0.8928,0.8797,0.1783,1.0000,0.6958,1.0000,1771522815
35,0.8943,0.8824,0.1839,1.0000,0.7000,1.0000,1771522836
36,0.8943,0.8824,0.1817,1.0000,0.7000,1.0000,1771522856
37,0.8943,0.8824,0.1813,1.0000,0.7000,1.0000,1771522875
38,0.8928,0.8809,0.1792,1.0000,0.6958,1.0000,1771522894
39,0.8928,0.8813,0.1790,1.0000,0.6958,1.0000,1771522917
40,0.8943,0.8824,0.1797,1.0000,0.7000,1.0000,1771522938
41,0.8913,0.8783,0.1740,1.0000,0.6917,1.0000,1771522955
42,0.8972,0.8860,0.1840,1.0000,0.7083,1.0000,1771522972
43,0.8957,0.8842,0.1812,1.0000,0.7042,1.0000,1771522990
44,0.8928,0.8817,0.1781,1.0000,0.6958,1.0000,1771523006
45,0.8928,0.8805,0.1772,1.0000,0.6958,1.0000,1771523023
46,0.8928,0.8809,0.1768,1.0000,0.6958,1.0000,1771523039
47,0.8943,0.8827,0.1784,1.0000,0.7000,1.0000,1771523066
48,0.8943,0.8824,0.1780,1.0000,0.7000,1.0000,1771523095
49,0.8957,0.8846,0.1792,1.0000,0.7042,1.0000,1771523119
50,0.8957,0.8842,0.1788,1.0000,0.7042,1.0000,1771523144
51,0.8928,0.8817,0.1765,1.0000,0.6958,1.0000,1771523169
52,0.8943,0.8824,0.1769,1.0000,0.7000,1.0000,1771523193
53,0.8957,0.8846,0.1785,1.0000,0.7042,1.0000,1771523217
54,0.8943,0.8831,0.1768,1.0000,0.7000,1.0000,1771523243
55,0.8972,0.8860,0.1796,1.0000,0.7083,1.0000,1771523262
56,0.8957,0.8846,0.1781,1.0000,0.7042,1.0000,1771523282
57,0.8957,0.8846,0.1778,1.0000,0.7042,1.0000,1771523303
58,0.8957,0.8846,0.1772,1.0000,0.7042,1.0000,1771523329
59,0.8928,0.8817,0.1749,1.0000,0.6958,1.0000,1771523349
0,0.6608,0.5730,0.1353,0.6074,0.6167,0.7789,1771523468
1,0.7210,0.6735,0.1851,0.7769,0.6167,0.7789,1771523491
2,0.8106,0.7923,0.2463,0.9959,0.6167,0.8191,1771523515
3,0.7753,0.7097,0.1927,0.9174,0.6167,0.7940,1771523540
4,0.8106,0.8031,0.2528,0.9876,0.4958,0.9749,1771523562
5,0.8502,0.8235,0.2417,0.9711,0.6167,0.9849,1771523590
6,0.8649,0.8435,0.2315,1.0000,0.6167,1.0000,1771523619
7,0.8605,0.8376,0.2052,1.0000,0.6167,0.9849,1771523652
8,0.8649,0.8435,0.1942,1.0000,0.6167,1.0000,1771523677
9,0.8649,0.8435,0.1876,1.0000,0.6167,1.0000,1771523697
10,0.8649,0.8435,0.1885,1.0000,0.6167,1.0000,1771523717
